App > Industry/Discipline > Module,Simulation Name,Duration (Min),Learning Objective,Standards Body > Category,Standards
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Job Site Safety: Situational Awareness,18,Trainee will demonstrate how to identify hazards.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Job Site Safety: Situational Awareness,18,Trainee will demonstrate awareness of electrocution danger.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Job Site Safety: Situational Awareness,18,Trainee will demonstrate TSA hazard document.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Job Site Safety: Situational Awareness,18,Trainee will demonstrate awareness of trench collapse danger.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Job Site Safety: Situational Awareness,18,Trainee will demonstrate signage-emergency support on location.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Job Site Safety: Situational Awareness,18,Trainee will demonstrate awareness of falling object danger.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Job Site Safety: Situational Awareness,18,Trainee will demonstrate awareness of falling from height danger.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Job Site Safety: Situational Awareness,18,Trainee will demonstrate sensory input for identifying hazards.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will demonstrate knowledge of components of a pallet jack.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will demonstrate how to operate a pallet jack.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will demonstrate how to inspect of a pallet jack.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will demonstrate how to recognize hazards.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Placards,15,Trainee will select and wear correct PPE based on SDS.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Placards,15,Trainee will demonstrate an understanding of the OSHA hazard communication standard (right-to-know).,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Placards,15,Trainee will identify the elements of chemical labels and placards.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Placards,15,Trainee will analyze critical sections of safety data sheets (SDS).,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Safety Concepts and Precautions,16,Trainee will select and wear correct PPE for safe materials handling.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Safety Concepts and Precautions,16,Trainee will safely lift; carry; and lower a load weighing 50 pounds or less.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Safety Concepts and Precautions,16,Trainee will size up a load and choose the best method for moving it.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Safety Concepts and Precautions,16,Trainee will plan a safe path and make sure materials are properly stored and secured.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention in basic plant safety.,OSHA > OSHA-10: Construction > 1926 Subpart F Fire Protection and Prevention,CS.1926.151 >  Fire prevention: 1926.151(c)(3) Housekeeping to eliminate fire hazards.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention with working walking surfaces.,OSHA > OSHA-10: Construction > 1926 Subpart F Fire Protection and Prevention,CS.1926.151 >  Fire prevention: 1926.151(c)(3) Housekeeping to eliminate fire hazards.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention with fire hazards.,OSHA > OSHA-10: Construction > 1926 Subpart F Fire Protection and Prevention,CS.1926.151 >  Fire prevention: 1926.151(c)(3) Housekeeping to eliminate fire hazards.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention with shutdown machinery.,OSHA > OSHA-10: Construction > 1926 Subpart F Fire Protection and Prevention,CS.1926.151 >  Fire prevention: 1926.151(c)(3) Housekeeping to eliminate fire hazards.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention with lifting heavy objects.,OSHA > OSHA-10: Construction > 1926 Subpart F Fire Protection and Prevention,CS.1926.151 >  Fire prevention: 1926.151(c)(3) Housekeeping to eliminate fire hazards.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Power Tools/Electrical Safety: Circular Saw,15,Trainee will demonstrate how to inspect and safely use a circular saw.,OSHA > OSHA-10: Construction > 1926 Subpart I Safety and Health Regulations for Construction,CS.1926.302 > Power-operated hand tools: 1926.302(a)(1) Insulated or grounded; 1926.302(a)(2) Care of electric cords.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Power Tools/Electrical Safety: Circular Saw,15,Trainee will demonstrate how to inspect and safely use a circular saw.,OSHA > OSHA-10: Construction > 1926 Subpart I Safety and Health Regulations for Construction,"CS.1926.304 > Woodworking Tools                                         1926.304(a)
Disconnect switches.                
1926.304(b)
Speed Control
1926.304(c)
Self-feeding
1926.304(d)
Guarding.
1926.304(e)
Personal protective equipment. "
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Power Tools/Electrical Safety: Electric Drill,11,Trainee will demonstrate how to inspect and safely use an electric drill.,OSHA > OSHA-10: Construction > 1926 Subpart I Safety and Health Regulations for Construction,CS.1926.302 > Power-operated hand tools: 1926.300(c) Personal protective equipment; 1926.302(a) Electric power-operated tools; 1926.302(a)(1) Insulation and grounding; 1926.302(a)(2) Use of electric cords; 1926.302(b).
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Power Tools/Electrical Safety: Handheld Grinders,13,Trainee will demonstrate how to inspect and safely use a handheld grinder.,OSHA > OSHA-10: Construction > 1926 Subpart I Safety and Health Regulations for Construction,CS.1926.302 > Power-operated hand tools: 1926.300(c) Personal protective equipment; 1926.302(a) Electric power-operated tools; 1926.302(a)(1) Insulation and grounding; 1926.302(a)(2) Use of electric cords.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Power Tools/Electrical Safety: Miter Saw,9,Trainee will demonstrate how to inspect and safely use a miter saw.,OSHA > OSHA-10: Construction > 1926 Subpart I Safety and Health Regulations for Construction,CS.1926.300 > Personal Protection: 1926.300(c) PPE for using hand and power tools.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Power Tools/Electrical Safety: Nibblers,10,Trainee will demonstrate how to inspect and safely use a nibbler.,OSHA > OSHA-10: Construction > 1926 Subpart I Safety and Health Regulations for Construction,CS.1926.300 > Power-operated hand tools: Personal Protection: 1926.300(c) PPE for using hand and power tools.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Power Tools/Electrical Safety: Pneumatic Wrenches and Screwdrivers,14,Trainee will demonstrate how to inspect and safely use pneumatic wrenches and screwdrivers.,OSHA > OSHA-10: Construction > 1926 Subpart I Safety and Health Regulations for Construction,CS.1926.300 > Power-operated hand tools: Personal Protection: 1926.300(c) PPE for using hand and power tools.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Power Tools/Electrical Safety: Pneumatic Wrenches and Screwdrivers,14,Trainee will demonstrate how to inspect and safely use pneumatic wrenches and screwdrivers.,OSHA > OSHA-10: Construction > 1926 Subpart I Safety and Health Regulations for Construction,CS.1926.302 > Power-operated hand tools: Pneumatic Tools: 1926.302(b)(1) Tools secured to hose; 1926.302(b)(2) Safety clips; 1926.302(b)(3) Discharge design; 1926.302(b)(4) Compressed air cleaning; 1926.302(b)(5) Safe operating pressures; 1926.302(b)(6) Hose care.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will demonstrate cutting to accuracy with a hacksaw.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will demonstrate sawing technique with a hacksaw.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will select proper hacksaw blade for workpiece.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will safely prepare saw and workpiece.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.301 > Hand Tools: 1926.301(a) Hand tools condition.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will demonstrate cutting to accuracy with a hacksaw.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.301 > Hand Tools: 1926.301(a) Hand tools condition.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will demonstrate sawing technique with a hacksaw.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.301 > Hand Tools: 1926.301(a) Hand tools condition.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will select proper hacksaw blade for workpiece.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.301 > Hand Tools: 1926.301(a) Hand tools condition.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hack Saws,16,Trainee will safely prepare saw and workpiece.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.301 > Hand Tools: 1926.301(a) Hand tools condition.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hand Saws,16,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hand Saws,16,Trainee will demonstrate cutting to accuracy with a hand saw.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hand Saws,16,Trainee will demonstrate sawing technique with a hand saw.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hand Saws,16,Trainee will demonstrate saw selection for workpiece/grain.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Hand Tools: Hand Saws,16,Trainee will demonstrate securing the workplace.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Hand Tools: Inspecting and Identifying Correctly,7,"Trainee will identify and demonstrate how to inspect common hand tools, including: channel locks, Phillips head screwdriver, sheet metal shears, torque wrench, utility knife, and wrench.",OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > General Requirements: 1926.300(a) Tool Condition and inspection; 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Hand Tools: Using Hand Tools Correctly,15,"Trainee will demonstrate how to use common hand tools, including: channel locks, Phillips head screwdriver, sheet metal shears, torque wrench, utility knife, and wrench.",OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,"CS.1926.301 > Hand Tools: 1926.301(a) Hand tools condition; 1926.301(b) Wrenches condition; 1926.301(c) Deformed ,mushroomed heads; 1926.301(d) Handle condition."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Cutoff Saw,12,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Cutoff Saw,12,Trainee will demonstrate proper cutting techniques.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Cutoff Saw,12,Trainee will demonstrate proper placement of workpiece on the saw.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Cutoff Saw,12,Trainee will establish a safe work area.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Hammer Drill,12,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Hammer Drill,12,Trainee will install the correct drill bit.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Hammer Drill,12,Trainee will identify the parts and settings of a hammer drill.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Hammer Drill,12,Trainee will look for damage on the hammer drill.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Hammer Drill,12,Trainee will safely use a hammer drill.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Impact Wrenches,15,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Impact Wrenches,15,Trainee will demonstrate how to install an impact socket.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Impact Wrenches,15,Trainee will demonstrate how to hook the impact wrench into the air hose.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
